"A1"	"A2"	"A3"	"A4"	"B1"	"B2"	"B3"	"B4"
"Fontisphaera"	0	0	0	0	0.0800640512409928	0	0.107991360691145	0
"Formosa"	0.154320987654321	0	0.087260034904014	0	0.0800640512409928	0.0630517023959647	0	0
"Frankia"	0	0	0.087260034904014	0	0	0	0	0
"Frigidibacter"	0.154320987654321	0.0924214417744917	0.087260034904014	0.1669449081803	0	0	0	0
"Fucophilus"	0	0.184842883548983	0.087260034904014	0	0	0.0630517023959647	0	0
"Fuerstiella"	0.154320987654321	0	0	0	0	0.0630517023959647	0	0
"Fulbrightiella"	0	0.646950092421442	0	0	0	0	0	0
"Fulvivirga"	5.09259259259259	4.89833641404806	2.79232111692845	3.50584307178631	2.40192153722978	4.35056746532156	2.05183585313175	2.33545647558386
"Fusibacter"	0.154320987654321	0.0924214417744917	0.087260034904014	0.333889816360601	0.0800640512409928	0.126103404791929	0	0.141542816702052
"Fusobacterium"	0	0	0.087260034904014	0	0	0	0	0
"Gallaecimonas"	0	0	0.087260034904014	0	0	0	0	0
"Gellertiella"	0	0.0924214417744917	0	0	0	0	0	0
"Geminobacterium"	0.462962962962963	0.0924214417744917	0	0.1669449081803	0.0800640512409928	0	0	0
"Geoanaerobacter"	0.308641975308642	0	0.261780104712042	0.667779632721202	0	0.189155107187894	0.323974082073434	0.0707714083510262
"Geobacillus"	0.154320987654321	0	0	0	0	0	0	0.0707714083510262
"Geobacter"	0	0.0924214417744917	0.087260034904014	0.500834724540901	0	0	0	0
"Geofilum"	0	0	0.087260034904014	0	0	0.0630517023959647	0	0.141542816702052
"Geomesophilobacter"	0	0	0	0	0	0	0	0.0707714083510262
"Geomonas"	0.308641975308642	0.184842883548983	0.174520069808028	0.333889816360601	0.240192153722978	0.252206809583859	0.539956803455723	0.495399858457183
"Georhizobium"	0	0.0924214417744917	0	0	0	0	0	0
"Geotalea"	0	0.0924214417744917	0	0	0	0.0630517023959647	0.107991360691145	0
"Geothermobacter"	0.308641975308642	0	0.087260034904014	0.333889816360601	0.56044835868695	0.252206809583859	0.215982721382289	0.212314225053079
"Gilvimarinus"	0	0.184842883548983	0	0.1669449081803	0.320256204963971	0	0	0
"Gimesia"	0.308641975308642	0	0.349040139616056	0.1669449081803	0.160128102481986	0	0.107991360691145	0.141542816702052
"Gimibacter"	0	0	0.087260034904014	0	0	0	0	0
"Gloeothece"	0	0.0924214417744917	0	0	0	0	0	0
"Gracilimonas"	0	0	0	0	0.0800640512409928	0	0	0
"Gudongella"	0	0	0	0	0	0	0	0.212314225053079
"Guopingia"	0	0	0	0	0	0.0630517023959647	0	0
"Halalkalibacter"	0	0.0924214417744917	0	0	0	0	0	0
"Halalkalibaculum"	0	0	0	0	0	0	0.107991360691145	0
"Halarcobacter"	0	0	0	0.1669449081803	0	0.126103404791929	0	0.0707714083510262
"Haliea"	0	0	0.087260034904014	0	0.160128102481986	0.0630517023959647	0.215982721382289	0.0707714083510262
"Halioglobus"	0.154320987654321	0.0924214417744917	0.087260034904014	0	0.0800640512409928	0.0630517023959647	0.215982721382289	0.141542816702052
"Halioxenophilus"	0.154320987654321	0	0	0	0	0	0	0
"Halobacillus"	0.154320987654321	0	0.174520069808028	0	0	0	0.107991360691145	0
"Halobacteriovorax"	0.154320987654321	0	0	0.333889816360601	0.160128102481986	0.126103404791929	0.107991360691145	0
"Halofilum"	1.08024691358025	0.924214417744917	0.610820244328098	1.3355592654424	0.720576461168935	0.819672131147541	0.755939524838013	0.212314225053079
"Haloimpatiens"	0	0	0.087260034904014	0	0	0	0	0.0707714083510262
"Halomarinibacterium"	0	0	0	0	0.0800640512409928	0.0630517023959647	0	0
